seed_id,macro_segment,query,product_type,personalization_type,occasion,ip_risk_hint,enabled,notes
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,LOW,true,pilot
B002,Kids birthdays,personalized construction birthday shirt,kids T-shirt,name and age,birthday,LOW,true,pilot
B003,Generic sports,personalized basketball birthday shirt,kids T-shirt,name and age,birthday,MEDIUM,true,pilot
B004,Teacher / school,personalized teacher shirt,adult T-shirt,name and role,school,LOW,true,pilot
B005,Occupations / professions,custom mechanic shirt name,adult T-shirt,name and occupation,everyday,LOW,true,pilot
B006,Hobbies / outdoors,personalized fishing shirt,adult T-shirt,name and hobby,everyday,LOW,true,pilot
B007,Family / relatives,personalized grandpa shirt,adult T-shirt,name and family relation,family gift,LOW,true,pilot
B008,Family / relatives,personalized dad shirt,adult T-shirt,name and family relation,family gift,LOW,true,pilot
B009,Pets,personalized dog shirt owner,adult T-shirt,name and pet,everyday,LOW,true,pilot
B010,Family / relatives,personalized family shirt,family matching apparel,family names,family event,LOW,true,pilot
B011,Family trips / vacations,personalized family vacation shirts,family matching apparel,family name and year,vacation,LOW,true,pilot
B012,Hobbies / outdoors,personalized camping family shirt,family matching apparel,family name,camping trip,LOW,true,pilot
B013,Graduation,personalized graduation shirt,adult T-shirt,name and year,graduation,LOW,true,pilot
B014,Adult milestone birthdays,personalized retirement shirt,adult T-shirt,name and year,retirement,LOW,true,pilot
B015,Baby / newborn,personalized new dad shirt,adult T-shirt,name and role,new baby,LOW,true,pilot
B016,Wedding / bridal,personalized bridal party shirt,family matching apparel,name and role,wedding,MEDIUM,true,pilot
B017,Memorial / sentimental,personalized memorial shirt,adult T-shirt,name and dates,memorial,LOW,true,pilot
B018,Adult milestone birthdays,personalized 50th birthday shirt,adult T-shirt,name and age,birthday,LOW,true,pilot
B019,Kids birthdays,personalized dinosaur birthday shirt,kids T-shirt,name and age,birthday,MEDIUM,false,full registry
B020,Kids birthdays,personalized race car birthday shirt,kids T-shirt,name and age,birthday,LOW,false,full registry
B021,Kids birthdays,personalized farm birthday shirt,kids T-shirt,name and age,birthday,LOW,false,full registry
B022,Kids birthdays,personalized train birthday shirt,kids T-shirt,name and age,birthday,LOW,false,full registry
B023,Kids birthdays,personalized space birthday shirt,kids T-shirt,name and age,birthday,LOW,false,full registry
B024,Kids birthdays,personalized animal birthday shirt,kids T-shirt,name and age,birthday,LOW,false,full registry
B025,Adult milestone birthdays,personalized 30th birthday shirt,adult T-shirt,name and age,birthday,LOW,false,full registry
B026,Adult milestone birthdays,personalized 40th birthday shirt,adult T-shirt,name and age,birthday,LOW,false,full registry
B027,Adult milestone birthdays,personalized 60th birthday shirt,adult T-shirt,name and age,birthday,LOW,false,full registry
