seed_id,macro_segment,query,product_type,personalization_type,occasion,listing_id,url,title,price,review_count,rank,shop_name,saturation_count,collected_at
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,4514622547,https://www.etsy.com/listing/4514622547/matching-disney-family-vacation-shirts,"Matching Disney Family Vacation Shirts, Custom Disney Birthday Boy Outfit, Personalized Castle Birthday Squad Tees",4.68,16,1,SMstoreBG,1000.0,2026-09-09T16:19:44.462086+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,4314534647,https://www.etsy.com/listing/4314534647/personalized-train-birthday-shirt-custom,Personalized Train Birthday Shirt: Custom Name Toddler Tee,22.99,12,2,FBLittlesBoutique,1000.0,2026-09-09T16:20:05.310460+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,4345383403,https://www.etsy.com/listing/4345383403/personalized-birthday-boy-shirt-jungle,Personalized Birthday Boy Shirt – Jungle Safari Birthday Shirt with Name and Age – Toddler Birthday Tee – Custom Animal Party Outfit,16.46,6,3,Just4EveryKid,1000.0,2026-09-09T16:20:28.884906+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,4470415980,https://www.etsy.com/listing/4470415980/custom-monster-truck-birthday-shirt-jam,"Custom Monster Truck Birthday Shirt, Jam Squad Shirts, Personalized Monster Truck Logo, Boys 2nd Birthday Party Tee",6.64,88,4,LukesCustomThreads,1000.0,2026-09-09T16:20:44.330083+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,1513926566,https://www.etsy.com/listing/1513926566/level-10-unlocked-birthday-shirt-gamer,Level 10 Unlocked Birthday Shirt Gamer Gaming T-Shirt Personalized - Kids Premium Shirt,30.33,10,5,GeschenkDesignsDE,1000.0,2026-09-09T16:21:06.631916+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,1863707579,https://www.etsy.com/listing/1863707579/custom-monster-truck-birthday-shirt-pit,Custom Monster Truck Birthday Shirt: Pit Crew Family Matching Tee,27.98,91,6,CommonCode,1000.0,2026-09-09T16:21:22.858641+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,4367092474,https://www.etsy.com/listing/4367092474/fire-brigade-t-shirt-birthday-shirt-with,"Firefighter T-shirt, birthday shirt with name and number, various colors, birthday gift, fire department, siren, HD21, boys' gift",18.14,29,7,CCEDesign,1000.0,2026-09-09T16:21:40.696142+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,1853014410,https://www.etsy.com/listing/1853014410/monster-truck-3rd-birthday-shirt-pit,Monster Truck 3rd Birthday Shirt: Pit Crew Family Matching,27.98,43,8,CommonCode,1000.0,2026-09-09T16:21:57.460467+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,4474210471,https://www.etsy.com/listing/4474210471/personalized-mario-birthday-shirt-gamer,Personalized Mario Birthday Shirt: Gamer Family Matching Tee,6.76,41,10,jenbirthdaybash,1000.0,2026-09-09T16:22:35.765746+00:00
B001,Kids birthdays,personalized birthday shirt kids,kids T-shirt,name and age,birthday,1865934645,https://www.etsy.com/listing/1865934645/personalized-disney-cars-birthday-shirt,"Personalized Disney Cars Birthday Shirt, Lightening McQueen Shirt, Disney Birthday Shirt, Disney Family Shirts, Personalized Birthday Shirts",8.75,56,11,AlexDTFtransfers,1000.0,2026-09-09T16:22:59.219535+00:00
B002,Kids birthdays,personalized construction birthday shirt,kids T-shirt,name and age,birthday,4345383403,https://www.etsy.com/listing/4345383403/personalized-birthday-boy-shirt-jungle,Personalized Birthday Boy Shirt – Jungle Safari Birthday Shirt with Name and Age – Toddler Birthday Tee – Custom Animal Party Outfit,16.46,6,2,Just4EveryKid,,2026-09-09T16:24:04.708414+00:00
B002,Kids birthdays,personalized construction birthday shirt,kids T-shirt,name and age,birthday,4367092474,https://www.etsy.com/listing/4367092474/fire-brigade-t-shirt-birthday-shirt-with,"Firefighter T-shirt, birthday shirt with name and number, various colors, birthday gift, fire department, siren, HD21, boys' gift",18.14,29,4,CCEDesign,,2026-09-09T16:24:45.984621+00:00
B002,Kids birthdays,personalized construction birthday shirt,kids T-shirt,name and age,birthday,4532816555,https://www.etsy.com/listing/4532816555/birthday-shirt-for-boys-aged-1-2-3-4-5-6,"Birthday shirt for boys aged 1, 2, 3, 4, 5, 6, 7, 8, or 9, featuring a construction site and excavator design, personalized with name and age – 4th birthday shirt, cotton.",30.78,1,9,PhilessaCreations,,2026-09-09T16:26:11.077621+00:00
B002,Kids birthdays,personalized construction birthday shirt,kids T-shirt,name and age,birthday,1811179627,https://www.etsy.com/listing/1811179627/custom-transportation-birthday-shirt,"Birthday Boy Shirt, Personalized Transportation Tee, Custom Vehicle Party Outfit, Dig Being Two, Construction Bday Gift, Kids Apparel",13.61,5,10,UniqueShirtBox,,2026-09-09T16:26:30.582556+00:00
B002,Kids birthdays,personalized construction birthday shirt,kids T-shirt,name and age,birthday,1838992662,https://www.etsy.com/listing/1838992662/matching-family-construction-birthday,"Matching Family Construction Birthday Shirt, Excavator Birthday Party, Construction Birthday T-Shirt, Matching Family Construction Crew",33.77,1,14,MediaARTTemplates,,2026-09-09T16:27:44.262890+00:00
B002,Kids birthdays,personalized construction birthday shirt,kids T-shirt,name and age,birthday,4374967871,https://www.etsy.com/listing/4374967871/personalized-birthday-boy-construction,"Personalized Birthday Boy Construction Shirt, Construction Family Birthday Shirt, Custom Name Construction Birthday Shirt, Little Worker Tee",12.65,6,15,ZentraClothing,,2026-09-09T16:28:00.554830+00:00
